Race Date,Race Name,Race Distance,City,State,Surface,Latitude,Longitude,Results,Notes
12/27/14,Jingle Jog,5K,Savannah,Georgia,Road,32.08740796,-81.0812706,https://www.athlinks.com/event/100864/results/Event/409936/Course/616418/Bib/856,
1/1/15,First Footin' Five Miler Trail Race,5 Mile,Huntersville,North Carolina,Trail,35.38597743,-80.94735115,https://www.athlinks.com/event/183197/results/Event/403422/Course/605590/Entry/206971943,
1/25/15,Asheville Hot Chocolate 10K,10K,Charlotte,North Carolina,Road,35.59833952,-82.56111378,https://rightontimeproductions.blogspot.com/2015/01/2015-hot-chocolate-10k-overall-results.html,
7/9/15,The Bear 5 Mile Run,5 Mile,Linville,North Carolina,Road,36.0711913,-81.87046607,https://www.leetiming.com/BEAR5M2015_OA.htm,
8/13/15,River Jam Race Series - August,10K,Charlotte,North Carolina,Trail,35.27273203,-81.00634218,,
9/17/15,River Jam Race Series - September,10K,Charlotte,North Carolina,Trail,35.27273203,-81.00634218,,
11/7/15,Miles for Medicine,5K,Charlotte,North Carolina,Road,35.20967337,-80.8622618,https://www.athlinks.com/event/156475/results/Event/493840/Course/734105/Bib/57,
11/13/15,Shot in the Dark,5K,Charlotte,North Carolina,Trail,35.27273203,-81.00634218,https://whitewater.org/wp-content/uploads/2021/01/2019-2014-Shot-in-the-Dark-5k-Overall-update-July-2020.pdf,
11/24/15,Charlotte SouthPark Turkey Trot,8K,Charlotte,North Carolina,Road,35.15593957,-80.83310894,https://resultscui.active.com/participants/34789251,27th Annual
1/16/16,Charlotte Running Company Trail Race,9 Mile,Charlotte,North Carolina,Trail,35.27273203,-81.00634218,,
4/22/16,Tuckfest - Twilight 5K,5K,Charlotte,North Carolina,Trail,35.27273203,-81.00634218,,
4/23/16,Tuckfest - Half Marathon,Half Marathon,Charlotte,North Carolina,Trail,35.27273203,-81.00634218,,
4/24/16,Tuckfest - Sunday Morning 5K,5K,Charlotte,North Carolina,Trail,35.27273203,-81.00634218,,
5/14/16,Quest for the Crest,10K,Burnsville,North Carolina,Trail,35.83831317,-82.2194715,https://ultrasignup.com/results_event.aspx?did=35773#id1062732,
10/29/16,Runway 5K,5K,Charlotte,North Carolina,Road,35.21055292,-80.94814296,https://runsignup.com/Race/Results/23740/IndividualResult/NNhk?resultSetId=99769#U5701270,
